{'d4', 'Nf6', 'Nf3', 'g6', 'g3', 'Bg7', 'c4', 'O-O', 'Nc3', 'd6', 'Bg2', 'Nbd7', 'O-O', 'e5', 'e4', 'Re8', 'h3', 'a6', 'Re1', 'c6', 'Be3', 'exd4', 'Nxd4', 'Nc5', 'Qc2', 'Qa5', 'Rad1', 'Qc7', 'f4', 'Bd7'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be2', 'e5', 'Nb3', 'Be7', 'O-O', 'O-O', 'Kh1', 'b6', 'f3', 'Bb7', 'Be3', 'b5', 'Qe1', 'Qc7', 'Bd3', 'Nbd7', 'Ne2', 'Nc5', 'Nxc5', 'dxc5'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be2', 'e6', 'Be3', 'Be7', 'f4', 'Qc7', 'O-O', 'O-O', 'g4', 'Re8', 'f5', 'd5', 'fxe6', 'fxe6', 'Bd3', 'h5', 'gxh5', 'e5', 'h6', 'exd4'}
{'d4', 'd5', 'c4', 'c6', 'Nc3', 'Nf6', 'e3', 'e6', 'Nf3', 'Nbd7', 'Qc2', 'Bd6', 'Bd3', 'O-O', 'O-O', 'dxc4', 'Bxc4', 'b5', 'Be2', 'Bb7', 'Rd1', 'Qc7', 'e4', 'e5', 'g3', 'Rae8', 'dxe5', 'Nxe5', 'Bg5', 'Neg4'}
{'e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Bxc6', 'dxc6', 'O-O', 'Qd6', 'd4', 'exd4', 'Nxd4', 'Bd7', 'Be3', 'Qg6', 'Nd2', 'O-O-O', 'Qe2', 'Nh6', 'Rad1', 'Ng4', 'N4f3', 'Re8', 'Bf4', 'Bb4', 'h3', 'h5', 'hxg4', 'hxg4'}
{'e4', 'c5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'd6', 'Bg5', 'e6', 'Qd2', 'a6', 'O-O-O', 'Bd7', 'f3', 'Be7', 'h4', 'Rc8', 'Kb1', 'O-O', 'g4', 'b5', 'Be3', 'Ne5', 'Bd3', 'Qc7', 'h5', 'b4'}
{'e4', 'c5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'e6', 'Nc3', 'Nf6', 'Ndb5', 'Bc5', 'Bf4', 'O-O', 'Bc7', 'Qe7', 'Bd6', 'Bxd6', 'Qxd6', 'Ne8', 'Qxe7', 'Nxe7', 'O-O-O', 'f5', 'e5', 'Ng6', 'Re1', 'a6', 'Nd4', 'd6'}
{'e4', 'c5', 'Nf3', 'd6', 'Bb5', 'Bd7', 'Bxd7', 'Nxd7', 'O-O', 'Ngf6', 'Qe2', 'e6', 'b3', 'Be7', 'Bb2', 'O-O', 'c4', 'a6', 'd4', 'cxd4', 'Nxd4', 'Qb6', 'Kh1', 'Rfe8', 'Nd2', 'Nc5', 'a4', 'a5', 'Nb5', 'Rad8'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Bg5', 'e6', 'f4', 'Qb6', 'a3', 'Nc6', 'Nb3', 'Be7', 'Qf3', 'h6', 'Bh4', 'g5', 'Bf2', 'Qc7', 'Be2', 'd5', 'exd5', 'exd5', 'fxg5', 'hxg5'}
{'d4', 'd5', 'c4', 'dxc4', 'Nf3', 'Nf6', 'e3', 'e6', 'Bxc4', 'c5', 'O-O', 'a6', 'Bb3', 'Nc6', 'Nc3', 'cxd4', 'exd4', 'Be7', 'Re1', 'O-O', 'Bf4', 'Na5', 'd5', 'Nxb3', 'Qxb3', 'exd5', 'Rad1', 'Be6', 'Qxb7', 'Bc5'}
{'e4', 'c5', 'Nc3', 'Nc6', 'f4', 'g6', 'Nf3', 'd6', 'Bc4', 'Bg7', 'O-O', 'e6', 'd3', 'Nge7', 'Qe1', 'h6', 'Bb3', 'a6', 'Bd2', 'b6', 'a3', 'Bb7', 'Rb1', 'O-O', 'Qh4', 'Kh7', 'Bxe6', 'fxe6', 'Ng5', 'Kg8'}
{'e4', 'e5', 'Nf3', 'Nc6', 'd4', 'exd4', 'Nxd4', 'Nf6', 'Nc3', 'Bb4', 'Nxc6', 'bxc6', 'Bd3', 'd5', 'exd5', 'cxd5', 'O-O', 'O-O', 'Bg5', 'Be6', 'Nb5', 'c5', 'c3', 'Ba5', 'Qa4', 'a6', 'Na3', 'c4', 'Bxf6', 'gxf6'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'e5', 'Bb5', 'Nd7', 'Nf5', 'a6', 'Bxd7', 'Qxd7', 'Nc3', 'Qc6', 'Ne3', 'Nf6', 'Qd3', 'Be6', 'O-O', 'Rc8', 'a4', 'Be7', 'a5', 'Qc7', 'Ned5', 'Bxd5', 'exd5', 'O-O'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Bb5', 'Bd7', 'Bxc6', 'Bxc6', 'Nc3', 'Nf6', 'Bg5', 'e6', 'O-O-O', 'Be7', 'Rhe1', 'O-O', 'e5', 'dxe5', 'Qh4', 'Qc7', 'Nxe5', 'h6', 'Bxh6', 'Ne4', 'Qh5', 'Nxc3'}
{'d4', 'Nf6', 'Nf3', 'd5', 'c4', 'e6', 'Nc3', 'c6', 'Bf4', 'dxc4', 'e4', 'b5', 'Be2', 'b4', 'Na4', 'Nxe4', 'Qc2', 'Nf6', 'O-O', 'Bd6', 'Be5', 'Qc7', 'Nc5', 'c3', 'bxc3', 'bxc3', 'Qxc3', 'Nbd7', 'Nxd7', 'Bxd7'}
{'e4', 'e6', 'Nc3', 'd5', 'Nf3', 'c5', 'd4', 'Nf6', 'exd5', 'Nxd5', 'Nxd5', 'Qxd5', 'Be3', 'cxd4', 'Qxd4', 'Qxd4', 'Nxd4', 'a6', 'c3', 'b6', 'Be2', 'Bb7', 'O-O', 'Nd7', 'Rad1', 'Be7', 'Rfe1', 'Rc8', 'Bf4', 'b5'}
{'Nf3', 'c5', 'e4', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Bg7', 'f3', 'O-O', 'Qd2', 'Nc6', 'O-O-O', 'Bd7', 'Bc4', 'Rc8', 'Bb3', 'Ne5', 'h4', 'Nc4', 'Bxc4', 'Rxc4', 'g4', 'h5', 'Rdg1', 'Qa5'}
{'e4', 'c6', 'c4', 'd5', 'exd5', 'cxd5', 'd4', 'Nf6', 'Nc3', 'Nc6', 'Bg5', 'dxc4', 'Bxc4', 'Qxd4', 'Qxd4', 'Nxd4', 'O-O-O', 'e5', 'Nf3', 'Nxf3', 'gxf3', 'Be6', 'Bxe6', 'fxe6', 'Rhe1', 'a6', 'Rxe5', 'Kf7', 'Re2', 'Re8'}
{'c4', 'Nf6', 'Nc3', 'g6', 'e4', 'd6', 'd4', 'Nbd7', 'Nge2', 'Bg7', 'f3', 'c5', 'Be3', 'O-O', 'Qd2', 'a6', 'O-O-O', 'Qa5', 'Kb1', 'Re8', 'Nc1', 'cxd4', 'Bxd4', 'Nc5', 'a3', 'Na4', 'Bxf6', 'Bxf6', 'Nd5', 'Qxd2'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be2', 'e6', 'Be3', 'Be7', 'f4', 'O-O', 'O-O', 'Qc7', 'Qe1', 'Nc6', 'Kh1', 'Na5', 'Qg3', 'Nc4', 'Bc1', 'b5', 'e5', 'Ne8', 'b3', 'Nb6'}
{'d4', 'Nf6', 'c4', 'e6', 'Nf3', 'b6', 'g3', 'Ba6', 'b3', 'Bb4', 'Bd2', 'Be7', 'Bg2', 'c6', 'Bc3', 'd5', 'Ne5', 'Ne4', 'O-O', 'O-O', 'Bb2', 'f6', 'Nd3', 'Qd6', 'f3', 'Ng5', 'Nd2', 'f5', 'e4', 'Bb7'}
{'d4', 'Nf6', 'c4', 'e6', 'Nf3', 'd5', 'Nc3', 'Be7', 'Bg5', 'h6', 'Bh4', 'O-O', 'e3', 'b6', 'Be2', 'Bb7', 'Bxf6', 'Bxf6', 'cxd5', 'exd5', 'b4', 'c6', 'O-O', 'a5', 'bxa5', 'Rxa5', 'Qb3', 'Re8', 'a4', 'Bc8'}
